,State,Regular Price,Mid-Grade Price,Premium Price,Diesel Price
0,Alaska,2.216,2.426,2.532,2.534
1,Alabama,1.647,2.019,2.348,2.383
2,Arkansas,1.535,1.88,2.166,2.25
3,Arizona,2.285,2.593,2.808,2.659
4,California,2.879,3.071,3.186,3.429
5,Colorado,1.826,2.146,2.426,2.364
6,Connecticut,2.017,2.457,2.673,2.811
7,District of Columbia,2.16,2.654,2.71,2.763
8,Delaware,1.857,2.328,2.56,2.355
9,Florida,1.846,2.244,2.535,2.497
10,Georgia,1.705,2.064,2.362,2.571
11,Hawaii,3.245,3.445,3.616,4.014
12,Iowa,1.551,1.715,2.146,2.255
13,Idaho,2.028,2.225,2.419,2.541
14,Illinois,1.888,2.309,2.707,2.53
15,Indiana,1.545,1.896,2.212,2.588
16,Kansas,1.612,1.86,2.133,2.219
17,Kentucky,1.513,1.902,2.207,2.398
18,Louisiana,1.705,2.036,2.343,2.359
19,Massachusetts,2.001,2.38,2.584,2.685
20,Maryland,1.957,2.445,2.673,2.446
21,Maine,1.83,2.209,2.467,2.628
22,Michigan,1.528,1.932,2.263,2.562
23,Minnesota,1.661,2.025,2.289,2.486
24,Missouri,1.585,1.897,2.166,2.236
25,Mississippi,1.573,1.936,2.255,2.247
26,Montana,1.903,2.133,2.401,2.288
27,North Carolina,1.716,2.112,2.419,2.483
28,North Dakota,1.729,1.93,2.192,2.187
29,Nebraska,1.733,1.877,2.29,2.276
30,New Hampshire,1.921,2.357,2.611,2.576
31,New Jersey,2.095,2.516,2.7,2.622
32,New Mexico,1.823,2.127,2.372,2.47
33,Nevada,2.459,2.676,2.848,2.758
34,New York,2.253,2.593,2.818,2.909
35,Ohio,1.467,1.841,2.182,2.519
36,Oklahoma,1.4,1.709,1.939,2.064
37,Oregon,2.541,2.736,2.903,2.74
38,Pennsylvania,2.119,2.466,2.738,2.827
39,Rhode Island,1.998,2.421,2.631,2.749
40,South Carolina,1.653,2.021,2.328,2.359
41,South Dakota,1.742,1.988,2.346,2.342
42,Tennessee,1.632,2.019,2.337,2.42
43,Texas,1.591,1.923,2.21,2.232
44,Utah,2.176,2.353,2.52,2.535
45,Virginia,1.755,2.202,2.492,2.46
46,Vermont,1.973,2.433,2.736,2.592
47,Washington,2.596,2.85,2.992,2.833
48,Wisconsin,1.308,1.73,2.068,2.17
49,West Virginia,1.837,2.125,2.417,2.437
50,Wyoming,1.984,2.201,2.434,2.422
